employee_id,name,age,gender,marital_status,ethnicity,country,job_role_id,department_id,hire_date,salary
1,James Tapia,38,Male,Married,Black,India,2,1,2018-12-08,79934.28
2,Vincent Smith,55,Male,Single,Native American,Nigeria,44,7,2019-03-14,67234.71
3,Christopher Key,26,Male,Married,Black,Japan,2,1,2024-01-29,82953.77
4,Craig Burke,33,Male,Other,Mixed,Italy,36,6,2016-10-19,100460.6
5,Lisa Rodriguez,49,Female,Widowed,Asian,South Korea,15,3,2022-07-23,65316.93
6,Daniel Rosario,31,Male,Other,Hispanic,Australia,49,8,2023-09-13,65317.26
7,Laura Hughes,34,Female,Prefer not to say,Asian,United Kingdom,10,2,2021-02-20,101584.26
8,William Perry,27,Male,Divorced,Other,Australia,25,4,2019-05-07,85348.69
9,Christina Bailey,50,Female,Widowed,White,Singapore,3,1,2018-03-01,60610.51
10,Stacy Moore,56,Female,Divorced,Other,France,6,2,2016-07-25,80851.2
11,Rebecca Monroe,33,Female,Other,White,United States,37,6,2016-04-29,60731.65
12,John West,39,Male,Single,Other,Canada,50,8,2020-02-16,60685.4
13,Curtis Sanchez,38,Male,Separated,Mixed,New Zealand,25,4,2017-03-29,74839.25
14,Kim Stephens,44,Female,Divorced,Black,France,11,2,2021-10-16,31734.4
15,Carrie Hampton,25,Female,Widowed,Mixed,India,45,7,2019-09-28,35501.64
16,David Benson,50,Male,Separated,Asian,Singapore,11,2,2022-05-15,58754.25
17,Andrew Patel,41,Male,Prefer not to say,Other,South Korea,44,7,2019-06-29,49743.38
18,William Miles,23,Male,Prefer not to say,Asian,Nigeria,15,3,2016-09-09,76284.95
19,Mary Davis,34,Female,Widowed,Mixed,Australia,5,1,2019-10-10,51839.52
20,James Cruz,52,Male,Separated,Mixed,Brazil,42,7,2024-04-18,41753.93
21,George Ross,29,Male,Married,Mixed,Japan,17,3,2019-10-30,99312.98
22,Felicia Miller,58,Female,Separated,Native American,Nigeria,48,8,2019-05-09,65484.47
23,Leslie Whitaker,29,Female,Widowed,Hispanic,United Kingdom,15,3,2024-05-31,71350.56
24,Benjamin West,30,Male,Other,Black,South Korea,8,2,2016-03-25,41505.04
25,Karla Webb,25,Female,Separated,Hispanic,Spain,39,6,2016-01-01,59112.35
26,Ashley Rowe,37,Female,Widowed,Other,United States,34,6,2022-07-24,72218.45
27,William Cook,55,Male,Prefer not to say,Asian,South Korea,44,7,2022-12-25,46980.13
28,Stephanie Obrien,39,Female,Separated,Black,Brazil,8,2,2024-06-10,77513.96
29,Austin Kirk,37,Male,Widowed,Other,India,47,8,2018-07-18,57987.23
30,Richard Long,40,Male,Prefer not to say,Mixed,Japan,41,7,2021-11-08,64166.13
31,Phillip Mcdonald,44,Male,Prefer not to say,Black,Japan,10,2,2023-10-07,57965.87
32,William Christensen,41,Male,Separated,White,United Kingdom,39,6,2017-10-24,107045.56
33,Emily Montgomery,36,Female,Single,Black,Singapore,20,4,2018-08-10,69730.06
34,Johnny Russell,52,Male,Prefer not to say,White,South Korea,6,2,2017-06-20,48845.78
35,Michael Mann,51,Male,Widowed,Black,Germany,9,2,2022-07-03,86450.9
36,Christina Dixon,55,Female,Prefer not to say,Mixed,Italy,14,3,2021-02-26,45583.13
37,David Graves,40,Male,Separated,Mixed,France,46,8,2019-03-09,74177.27
38,Andrea Morris,54,Female,Separated,White,Canada,29,5,2018-03-26,30806.6
39,Brandon Moore,42,Male,Single,Native American,Japan,5,1,2015-12-04,43436.28
40,James Dalton,35,Male,Single,White,Italy,38,6,2024-06-11,73937.22
41,David Davis,25,Male,Single,Other,Australia,15,3,2023-09-26,84769.33
42,James Harvey,36,Male,Divorced,Mixed,Brazil,33,6,2016-11-03,73427.37
43,Tom Anderson,29,Male,Other,Native American,Spain,35,6,2021-02-14,67687.03
44,Rebecca Rodriguez,51,Female,Prefer not to say,Hispanic,Canada,16,3,2018-03-24,63977.93
45,Terry Terry,48,Male,Divorced,Hispanic,Nigeria,7,2,2015-10-02,40429.56
46,Chloe Baker,24,Female,Other,Mixed,France,47,8,2020-09-02,55603.12
47,Tanner King,46,Male,Other,Asian,South Korea,4,1,2017-03-28,60787.22
48,Juan Boyd,33,Male,Married,Native American,Brazil,16,3,2025-05-31,91142.44
49,Shane Soto,32,Male,Divorced,Hispanic,Canada,28,5,2019-03-31,76872.37
50,Daniel Barton,56,Male,Single,White,France,29,5,2023-10-25,34739.2
51,Robert Hale,36,Male,Married,Hispanic,Brazil,6,2,2024-10-03,76481.68
52,Penny Stewart,46,Female,Single,Black,Nigeria,14,3,2024-06-16,62298.35
53,Brian Lawson,37,Male,Prefer not to say,Other,Brazil,25,4,2024-08-18,56461.56
54,Alexis King,56,Female,Other,Mixed,Brazil,28,5,2019-03-14,82233.53
55,Leonard Stewart,39,Male,Married,White,Spain,13,3,2017-12-17,90619.99
56,Harold Conrad,41,Male,Single,White,Spain,48,8,2017-07-26,88625.6
57,Amanda Robinson,54,Female,Married,White,Japan,33,6,2019-01-16,53215.65
58,Michael Simon,25,Male,Widowed,White,France,12,2,2023-07-12,63815.75
59,Richard White,28,Male,Widowed,Black,Spain,26,5,2017-06-28,76625.27
60,Nicholas Kelly,26,Male,Separated,Mixed,Spain,40,7,2019-04-21,89510.9
61,Heather Buckley,34,Female,Other,Mixed,Australia,17,3,2016-04-15,60416.52
62,Raymond Sanchez,46,Male,Married,Mixed,France,17,3,2023-07-06,66286.82
63,Jamie Pennington,41,Female,Prefer not to say,White,United States,30,5,2021-06-26,47873.3
64,Megan Larson,57,Female,Single,White,Japan,40,7,2019-05-17,46075.87
65,Kevin Webb,37,Male,Married,Asian,Singapore,33,6,2016-06-07,86250.52
66,Justin Green,44,Male,Divorced,Black,Brazil,16,3,2017-12-20,97124.8
67,Laura Gregory,54,Female,Single,Mixed,New Zealand,40,7,2022-05-10,68559.8
68,Jennifer Holloway,27,Female,Married,Asian,United Kingdom,43,7,2022-08-15,90070.66
69,Jon Chan,56,Male,Married,Asian,Germany,48,8,2020-10-05,77232.72
70,Daniel Mcdonald,42,Male,Married,Mixed,France,46,8,2022-10-26,57097.6
71,Jamie Alexander,52,Female,Divorced,Other,United States,33,6,2015-08-11,77227.91
72,Michael Cervantes,48,Male,Prefer not to say,Asian,United States,41,7,2022-09-28,100760.73
73,Joseph Murillo,29,Male,Other,Asian,India,22,4,2018-09-16,69283.48
74,Jennifer Perkins,48,Female,Widowed,White,United Kingdom,36,6,2023-03-22,101292.87
75,Troy Ellis,30,Male,Widowed,White,New Zealand,45,7,2020-10-18,30000.0
76,Jordan Ramos,56,Female,Married,Hispanic,India,38,6,2019-03-20,86438.05
77,David Sandoval,44,Male,Prefer not to say,Other,United States,20,4,2022-11-21,71740.94
78,Kari Howard,36,Female,Other,White,Australia,14,3,2019-02-08,64019.85
79,Megan Velez,30,Female,Married,Other,India,40,7,2019-03-24,71835.22
80,Jason Phillips,22,Male,Married,Mixed,Singapore,27,5,2016-09-30,30248.62
81,Anne Park,47,Female,Prefer not to say,Mixed,New Zealand,51,8,2019-01-07,65606.56
82,Alex Hudson,31,Male,Prefer not to say,Mixed,United Kingdom,18,3,2022-05-01,77142.25
83,Elizabeth Richards,51,Female,Married,Black,New Zealand,3,1,2025-03-02,99557.88
84,Julie Estrada,40,Female,Prefer not to say,Other,New Zealand,23,4,2025-06-25,59634.6
